App_Running,Screen_On_Time_min,CPU_Usage_%,Battery_Temperature_C,Battery_Drop_Per_Hour,Network_Type,Brightness_Level_%,RAM_Usage_MB,Charging_State,Usage_Mode,Intensity,Total_Battery_Drain,High_Temperature
TikTok,88.83707264871667,46.4554657377207,37.516301132627525,13.704408297307804,4G,64,3197.120232165582,Not Charging,Browsing,148.52370940474185,20.290991925260148,1
Maps,83.03762528504289,51.91061015668334,34.82667215131197,15.718579101999062,WiFi,15,2223.1040405678177,Not Charging,Gaming,115.40268718766353,21.753891358085067,0
Chrome,55.5906182179157,21.285780338050373,38.64409318829818,14.779743749790937,5G,51,3024.93165468634,Not Charging,Browsing,64.38803073926869,13.693584869220896,1
TikTok,57.68860401607741,26.36082782864408,37.96277653964384,1.8422434462638169,5G,35,2094.3240379377503,Not Charging,Navigation,55.208115381467685,1.7712742112121187,1
WhatsApp,88.87556136053792,32.5516035765364,34.82428210297646,9.715325804326284,5G,81,2777.393114519251,Charging,Gaming,90.40859964003242,14.390917244333634,0
YouTube,74.47217261778745,59.29736907473973,32.44587590567941,7.163594448526883,5G,22,1979.5136786790083,Charging,Music,117.37995319312489,8.891474038908633,0
Camera,58.992964233571776,43.44703182752389,40.21270796046255,10.454858620914782,5G,26,3295.535067497712,Charging,Browsing,143.1812169662942,10.279385011511255,1
Chrome,56.92924525682918,15.1386975520117,37.31581048939411,11.444042822563274,4G,60,2846.3843737750167,Charging,Navigation,43.090552151352206,10.858345342922672,1
Spotify,72.4042288003446,33.60525812615748,28.09283673734851,17.331759455976187,4G,21,2482.2068449952994,Not Charging,Browsing,83.415201748582,20.914877952717262,0
YouTube,119.20261986795524,31.311818663743487,36.10448828040694,13.47618518346763,4G,42,679.6772798771167,Charging,Social Media,21.28193173737871,26.77327632825104,1
Camera,66.84804919470103,17.40095665994105,29.24487645271133,19.089159864435423,4G,29,2469.289984840316,Charging,Video Streaming,42.96800800703283,21.267884961721528,0
Instagram,79.64951154356028,33.42812124657908,30.17716033785413,8.5024484278641,5G,36,1459.040220624236,Charging,Browsing,48.77297339866246,11.286931070061462,0
Facebook,82.54110719223775,30.649438405904416,31.740449823071813,4.9146172103908885,5G,19,2411.951804528608,Not Charging,Social Media,73.92496827090957,6.760965766194846,0
PUBG,51.72434021270143,29.57551214574261,35.22436617829851,19.276213204102323,WiFi,17,2966.4995131833184,Not Charging,Video Streaming,87.73574238249279,16.617490163025934,1
Spotify,35.92918790393262,28.889279489272838,36.87242788795643,14.167276189503156,WiFi,62,2613.398180208368,Not Charging,Video Streaming,75.49919044479657,8.48364547165949,1
Instagram,54.333981631606726,57.07090322523205,32.955290553793645,8.283641163205518,4G,94,2715.2274434891883,Charging,Music,154.96048266186568,7.501386780073833,0
WhatsApp,86.17693444515758,29.54445325849227,33.17408691853133,14.189114392551437,5G,54,1976.185930293897,Charging,Navigation,58.3853328476581,20.379573014029116,0
Instagram,82.18327644788523,35.74506584450397,32.4837817234916,16.176297835997158,WiFi,15,1285.239573267815,Charging,Navigation,45.940973172420236,22.15701928265137,0
Facebook,97.56016422877664,34.11852931584906,40.23756818543814,12.59595406503796,WiFi,17,1737.131704847105,Charging,Gaming,59.26837899731681,20.4810557867205,1
WhatsApp,82.41874737397791,27.42474724448996,20.735282482001733,8.35481785986731,WiFi,54,2002.1581299464228,Not Charging,Social Media,54.90868065728133,11.476560375800045,0
Spotify,77.26126771326992,36.19257098551547,33.456612951626084,9.793685975721624,WiFi,42,2191.5636278795773,Charging,Music,79.31832217130541,12.611209901165424,0
Facebook,64.89969312687182,35.98025894146645,42.72492397691183,13.453107489249009,4G,5,2961.4767780875263,Not Charging,Browsing,106.55470132472898,14.551709127584694,1
TikTok,102.11516974656732,36.19634790348824,37.58615025138693,12.994439776778435,5G,43,2638.3467216652903,Not Charging,Social Media,95.49851582742448,22.115490392787937,1
PUBG,57.02049653198208,22.11150286855368,41.334236202835626,18.061300288927068,4G,31,3531.8351329752936,Charging,Browsing,78.09418267404186,17.164405174797547,1
Spotify,52.24001206759948,31.908132391210383,24.828755702445385,10.620448937989847,WiFi,40,1599.227603434,Not Charging,Browsing,51.02836609405017,9.246873011398561,0
TikTok,94.17638793470256,46.40482813024786,28.788753842654387,7.181197008122415,WiFi,36,2898.3806940891427,Charging,Browsing,134.49885796523517,11.27165325454103,0
Camera,46.67106723365863,32.302750529299395,37.57024070343234,24.88527164785016,5G,45,2725.21364640748,Charging,Gaming,88.03189655894316,19.35703643674456,1
Spotify,140.3697749664658,37.42672868901887,42.75315296628834,12.87244099743868,5G,19,2130.062706880457,Charging,Gaming,79.721279021012,30.115027434659602,1
Camera,81.99983451397858,37.50555501089533,29.29381891577636,16.171313789447684,4G,35,1623.4203770073536,Charging,Music,60.88728225565774,22.10075091013883,0
WhatsApp,88.69765290812214,41.26092696100876,33.06119108646739,14.6092418601294,5G,10,1830.7124977566957,Not Charging,Gaming,75.53689465654493,21.596757729342766,0
TikTok,59.789504386915326,43.37976372520716,37.00732070933498,12.932872192804446,4G,93,1801.8662777395527,Not Charging,Music,78.1645333927603,12.887500311784944,1
PUBG,72.11837889396135,32.38774085376169,27.737508014561516,10.861281346284162,4G,56,3226.4006449124663,Charging,Gaming,104.49582797783457,13.054966723420597,0
Facebook,69.33107207794114,21.329970453618557,37.60845629790492,1.0,WiFi,86,2696.950274997448,Not Charging,Navigation,57.52586968057401,1.1555178679656857,1
Maps,66.45412530828396,16.719270069876863,21.62157675481882,6.683893796010896,4G,26,2719.3937694193173,Not Charging,Music,45.46627885726202,7.40287193112283,0
Instagram,95.82404378774568,50.26529619104539,37.461197322324274,13.645596067086473,WiFi,35,2252.604189580384,Not Charging,Navigation,113.22781679044776,21.79293658403974,1
YouTube,68.76059904436796,46.553756719566,30.024575160560783,1.0,4G,77,2062.7223888892468,Charging,Navigation,96.027476272352,1.1460099840727993,0
PUBG,105.43753072710452,44.740470265062896,32.762014047417935,12.3580919635514,4G,50,2402.401479313168,Charging,Music,107.4845719499539,21.71677835225557,0
TikTok,146.57955875299558,47.1680529179401,38.25941973968484,15.306152554321615,5G,71,2261.479215755833,Charging,Social Media,106.66957132159281,37.39281812697497,1
Maps,72.61146899633627,32.57666024561167,37.23626077746125,16.166393085517164,5G,95,2142.3821820414005,Not Charging,Video Streaming,69.79165646061487,19.564425838526912,1
PUBG,83.8078878394156,25.626853733516747,34.960093978241474,14.99077623732353,WiFi,47,2420.0133253929853,Charging,Gaming,62.0173275230075,20.93908822538978,0
TikTok,89.4870514291377,20.29388885302943,39.84520275817675,16.791959758085568,5G,5,1560.4699953025483,Charging,Browsing,31.66800464315727,25.04438277446356,1
Chrome,125.28762031483792,18.65975005121751,26.49911993690588,20.028056916209387,4G,48,2360.2057154082504,Charging,Gaming,44.04084871897297,41.821126509366756,0
Chrome,77.93380537404528,53.182380328254965,36.02207185750707,17.48058967704592,WiFi,61,2133.520028667933,Charging,Browsing,113.46567360256743,22.70548122857403,1
Camera,59.27457700854093,27.60282716368777,31.049149345707587,12.984156994509652,WiFi,13,1771.2302446585038,Charging,Social Media,48.89096231040509,12.827173561034128,0
PUBG,48.341487359357394,50.8228860381633,39.59015734339993,11.326900726136238,WiFi,9,2584.376360490536,Charging,Video Streaming,131.34546524893375,9.12598713788685,1
Chrome,78.55040131419415,32.19671254429024,38.4353353481806,12.573189372763457,4G,83,3277.109613484577,Not Charging,Social Media,105.51215620149303,16.460484517165508,1
TikTok,68.79049452365294,24.85638187636364,38.61674109432003,10.622509241626403,5G,13,2966.8418269950357,Charging,Video Streaming,73.74495341855699,12.178794396892563,1
Camera,130.25023223250005,18.584528036747848,43.22690916353567,17.587903661228125,WiFi,49,2030.4310381521589,Not Charging,Music,37.734602555221834,38.18047560596336,1
TikTok,124.24656051692416,26.177684645183746,40.631737662174885,14.860501041504936,4G,96,2598.63848823434,Charging,Music,68.02633885183558,30.772769032752624,1
Camera,54.140679301910055,56.27358174359435,34.212893331132946,10.094617727766368,5G,81,2706.0320879136702,Not Charging,Browsing,152.2781178999992,9.108824351239582,0
PUBG,62.230997411270536,18.736848803302813,34.99366073256252,18.62043891806048,5G,28,2271.503057761067,Not Charging,Navigation,42.56080934950912,19.312808101775712,1
Maps,81.84425269717215,66.75120232219476,38.00469190355863,10.540605729826945,WiFi,78,2185.603117987536,Not Charging,Navigation,145.8916359248057,14.378133315553619,1
Facebook,114.93066056396908,22.390888587955345,35.680873373739146,7.271141769633612,4G,46,2406.255656707036,Charging,Browsing,53.87820232346457,13.927952110637635,1
Spotify,81.42532840927628,46.249249559768685,38.525866609548586,11.946287266746024,5G,26,3707.5473004390833,Charging,Music,171.47128035265385,16.21217273277251,1
Maps,63.81898405029884,32.82123058617517,23.848397876134857,7.879332581641389,4G,64,2354.390374819938,Not Charging,Browsing,77.27398938183659,8.380850005912864,0
WhatsApp,78.52795475243188,30.191606262107214,44.40401759396658,16.68102868768627,5G,90,1439.547464653086,Not Charging,Navigation,43.46225024842068,21.83211776684409,1
TikTok,64.28787840259884,15.92868834312296,35.3051429177816,7.772839080975124,WiFi,41,1572.2241633884596,Charging,Browsing,25.043468704142004,8.328322228011613,1
WhatsApp,95.06193023598703,33.52410525873143,26.8876733455372,11.423151858945864,WiFi,43,2097.28504936484,Charging,Music,70.30960475247063,18.09844775150329,0
Maps,62.27415720838238,17.625710054509934,30.431033242082396,16.698537459727955,5G,88,1451.869676176622,Charging,Social Media,25.59023394922437,17.33145578195268,0
Camera,67.23909868932583,9.776343503488397,24.35336474415389,8.438990207073283,4G,78,2120.4893656113377,Not Charging,Gaming,20.730632433710632,9.457168256194246,0
Spotify,109.0483453364024,36.79398017326174,29.54882459907125,14.055717666598216,5G,78,3535.126398632145,Not Charging,Music,130.0713706212453,25.54587923430291,0
Spotify,60.7908763171482,25.46865339746367,34.28875785680107,7.132923207477735,4G,94,1893.1404575124327,Not Charging,Browsing,48.21573814509995,7.2269442080915836,0
YouTube,43.84679918599595,60.26522774187471,42.573573062472015,13.221915635985903,5G,93,1547.6299898833893,Not Charging,Music,93.2682738004777,9.662311329087563,1
Spotify,82.37484378390761,50.00032572639233,37.053372927099005,14.83623424428761,WiFi,57,2075.452973122192,Not Charging,Music,103.77332468591898,20.368874636910874,1
Facebook,70.9881648948851,60.46148272005155,36.16430305982288,11.78924734159266,4G,32,2137.630740362285,Charging,Navigation,129.2443240702653,13.948283904526093,1
Spotify,92.78538752324884,24.78675643238152,29.32447739392144,12.167631437391597,WiFi,81,1606.7035586759516,Not Charging,Browsing,39.824969767941425,18.816306635974076,0
Maps,87.93679836827725,37.04206610196931,30.877573471732443,14.219929107802647,4G,19,1456.9808613237278,Not Charging,Navigation,53.96958137445771,20.840917312733968,0
YouTube,79.20203763391595,1.0,31.265361533139025,10.597457076877651,5G,64,3013.7506280191506,Charging,Browsing,3.0137506280191504,13.989003237111211,0
Maps,78.4739143632501,30.77296428969914,31.469356939069478,16.447768155398137,WiFi,64,2500.4584211789,Charging,Navigation,76.94651770281578,21.512012494888424,0
Maps,61.60353876692913,36.477475220370216,33.242315618756976,18.855705236710453,WiFi,10,1910.3559238747853,Charging,Navigation,69.68496087522992,19.359636142124682,0
Instagram,82.08367677483108,37.31072116552658,33.619944691417594,7.371076703681893,4G,56,1506.7571975294122,Not Charging,Social Media,56.21819766117015,10.084084627125197,0
YouTube,102.03211953581922,34.364473841874904,33.30460813186576,20.835297872288507,4G,16,1889.5350043470855,Charging,Music,64.9328762301924,35.43116005116235,0
Maps,55.6638314650131,35.99888857627502,31.643378848657587,10.48256120250782,4G,23,1464.378447587576,Not Charging,Social Media,52.715996568203735,9.724992001634673,0
Instagram,79.86506559096163,1.0,35.67526582906113,21.97172474859925,WiFi,79,1852.3106155016965,Charging,Navigation,1.8523106155016964,29.246220636557236,1
Instagram,105.95971889336528,38.84332754122967,33.42792608316613,10.550414570680688,5G,6,3440.144804263268,Not Charging,Social Media,133.62667142125756,18.631982701963178,0
YouTube,92.63560233041748,42.25159837895058,27.022163768888863,15.536892875709851,4G,59,2343.3127278919087,Not Charging,Music,99.00870825517204,23.987823831409237,0
WhatsApp,112.73682240876782,55.07038103943276,35.17190911128968,15.510053057647038,5G,19,1829.1903081588252,Charging,Music,100.73420726394394,29.14256828517534,1
Camera,65.79644175414164,40.53107088915396,34.41618001109212,10.063442308883236,4G,68,2607.721357116252,Not Charging,Navigation,105.69373918443958,11.035644928710008,0
Facebook,34.23078879012835,33.038943999301424,27.10186273722412,12.363136940897014,5G,73,1641.974062554695,Charging,Music,54.24908910105002,7.053332156787986,0
Camera,85.01629509889217,51.57412883346458,32.04349276651731,19.19950278178405,4G,19,1956.6251189931484,Not Charging,Social Media,100.91123596574559,27.204509904135904,0
Spotify,89.06427037566213,1.0,37.9853628050568,10.389087751189969,5G,47,1087.4971324725082,Not Charging,Video Streaming,1.0874971324725082,15.421608673807718,1
Facebook,114.21054886181687,27.275772040592845,29.31775030669648,9.912269668727062,WiFi,78,2964.4414290196305,Not Charging,Music,80.85742864562874,18.868095988860958,0
Spotify,109.7036433676746,23.51285029911933,28.789104651357533,6.232663994069425,4G,21,2078.962361223173,Charging,Social Media,48.88233077694411,11.395765800598975,0
Maps,93.41859057531154,34.48217300253033,33.3755818900413,19.837761100524656,4G,28,1708.741305132747,Not Charging,Social Media,58.92111330015685,30.88692803634591,0
TikTok,99.13475535426085,2.019607816562526,38.11466134905982,9.59611719247698,WiFi,78,2589.6944536133788,Charging,Social Media,5.2301671610262,15.855145503783698,1
YouTube,75.20446354483403,54.79453493365578,44.05163795361348,17.999901089739723,4G,34,1571.3670097979984,Not Charging,Music,86.10232451197065,22.56121508856582,1
Facebook,49.52213471701958,31.25285150473631,38.29467677426842,8.993225914645123,4G,71,1607.8392318335518,Not Charging,Video Streaming,50.249560755983296,7.4227290880941235,1
Facebook,82.94303043452275,39.781950367384006,40.42413870078054,17.84292307597707,WiFi,55,1972.5712113554223,Charging,Navigation,78.47273002627195,24.66576852886024,1
Maps,104.56433659069444,38.346368375898415,36.73348814250832,16.03321558361375,WiFi,64,1481.4892815314895,Charging,Navigation,56.80973373455157,27.941709181935927,1
WhatsApp,96.40902174571372,53.937348423154255,31.574420101786348,10.857840394668209,5G,7,1807.9307956899036,Not Charging,Music,97.51499325207683,17.446562845350936,0
Instagram,100.84518347898413,7.07074797688929,38.25855538298456,8.328620143552902,WiFi,9,2081.105452814722,Not Charging,Music,14.714972170182966,13.998353775055925,1
Maps,69.3061078238312,36.68481748204719,34.571959755359394,8.734847122709727,WiFi,32,2135.2751707543084,Not Charging,Gaming,78.33217991306894,10.089637608520034,0
Chrome,73.3613290495394,52.19267391057291,36.88516918914007,8.671000649491148,4G,82,1405.2192913147614,Not Charging,Browsing,73.3421522444377,10.6019355306015,1
Instagram,92.08563720286509,33.53020329918963,30.269850868245197,17.3259159006182,WiFi,15,2053.4020935925064,Not Charging,Video Streaming,68.85098965313836,26.591133430527982,0
YouTube,66.33731513728114,20.730959102925475,37.33222900419903,12.80115182306703,4G,76,2548.4003922065435,Not Charging,Social Media,52.8307843087131,14.153234043449643,1
Instagram,67.10707325167495,25.941648265163213,34.397459016170515,6.424387837456482,WiFi,76,2648.4618043238643,Charging,Browsing,68.70546457148922,7.185364420089363,0
WhatsApp,87.44955590943628,29.10586997290393,36.15628873592042,10.7393329449946,WiFi,80,1901.4839310242628,Not Charging,Social Media,55.344344051958416,15.652498280055935,1
Instagram,99.0226185789227,24.18424955715516,34.57463412587434,11.344899490298586,5G,19,2086.696428042446,Charging,Browsing,50.465187165802774,18.723360917400857,0
YouTube,75.01178316676479,32.70783324398961,33.61398442329158,1.305055531931309,WiFi,87,2051.3081196899493,Not Charging,Navigation,67.09384391086074,1.6315757096969707,0
WhatsApp,50.92026347365903,57.62371104777503,37.42345389809204,11.017435427869154,WiFi,52,1364.9826318211512,Not Charging,Browsing,78.65536476129351,9.350178579852043,1
Camera,61.60490212392925,26.03952851693776,32.96954435554218,15.615964880143668,4G,50,1875.9048561926768,Charging,Music,48.84767799789124,16.03366646686612,0
Facebook,85.09180212232745,27.684890385815013,27.056559348112053,11.311860588712795,4G,32,2677.736978266056,Not Charging,Video Streaming,74.13285472533929,16.042443380835063,0
Facebook,84.78802409664912,41.8967087607547,25.630149621587773,13.27203439373326,5G,11,2687.2688753096672,Not Charging,Navigation,112.58772143068995,18.75515953312353,0
Spotify,86.0309534413837,32.37769454054186,35.92208284713489,14.42256565386386,WiFi,75,2447.13524633049,Charging,Browsing,79.23259750508227,20.679784571214356,1
Camera,93.03238226489393,15.062222999826762,32.76391092635572,10.286988796144636,4G,98,603.2705611367721,Not Charging,Video Streaming,9.086595721072687,15.950384567293478,0
Camera,80.14526396356125,34.08217343331468,26.35450411283975,15.65377330580196,WiFi,86,1731.0923899218403,Charging,Music,58.99939106240736,20.909596560320782,0
Instagram,86.6264011210078,33.51662851404612,35.5326748352689,19.2874214891585,5G,92,2480.556660408568,Not Charging,Social Media,83.13989609495682,27.846665175163167,1
Facebook,78.87432942927833,49.6351751815723,34.5306272251332,4.380706812762976,4G,10,3227.4355710090617,Not Charging,Gaming,160.1943299542726,5.758755204715849,0
YouTube,108.71833707323596,20.41771402696008,32.50193203388634,10.2757512379673,4G,62,2191.2639498284943,Charging,Video Streaming,44.7406006851852,18.61937644616751,0
PUBG,115.80855078043754,49.73479224133165,36.23404659090426,23.648087417268563,5G,72,2257.523744116317,Charging,Social Media,112.27747439349818,45.64417887538288,1
PUBG,50.27471794049914,33.53253781850085,41.57547005053902,12.852826916039998,WiFi,59,2132.108959413381,Not Charging,Video Streaming,71.49502431469368,10.769537465699438,1
WhatsApp,73.61870144744367,18.380874936275063,41.422953593425696,11.825740247544974,4G,71,1416.0844649382916,Charging,Video Streaming,26.028871449232728,14.509927344650535,1
Facebook,80.8181122885177,15.368325318846068,35.718823215542926,10.709787848889675,4G,53,2411.1558459734065,Charging,Video Streaming,37.05542743535681,14.42574728262947,1
Facebook,73.32713219964198,64.01582791862795,34.576447835685734,18.37217572136409,5G,55,1287.191411625346,Charging,Music,82.40062390494394,22.45298263192529,0
PUBG,124.82306478327185,32.6012596574684,35.788676038058405,7.305034018854161,5G,63,2148.8551264949924,Not Charging,Navigation,70.05538394514534,15.197278909657292,1
Facebook,85.59888195224336,49.04756175095732,36.54503466387174,16.630872633425685,5G,10,2253.429869142374,Charging,Video Streaming,110.52524065821228,23.726401721856664,1
Instagram,59.86570432374141,9.378209080878054,33.65850911470972,10.616244846108732,WiFi,94,2229.5789653956444,Charging,Music,20.909457699808133,10.592482916426484,0
Chrome,94.91105848901678,74.56542331945852,35.87271529976551,8.250785386459075,WiFi,55,1420.9557046637003,Charging,Gaming,105.95416363644829,13.051512906575702,1
TikTok,86.77436347115481,48.39866942550693,27.13185214479101,10.844486746654232,WiFi,42,1774.5840082943162,Charging,Navigation,85.88750478522766,15.683723910204924,0
Camera,87.60482298883554,31.168396787671863,35.40674441673382,11.768097570489635,5G,15,2613.241603860752,Charging,Music,81.45055121118394,17.182368409634833,1
Spotify,125.19690396997976,30.40751213216735,37.384067975123024,9.511281872885826,4G,56,2243.7146920911705,Not Charging,Gaming,68.22578172088441,19.846384054518268,1
WhatsApp,88.76962939387023,46.018971924544935,32.55079028996797,17.563862589075278,WiFi,97,1778.5156251697529,Not Charging,Navigation,81.84546062205133,25.98562621261791,0
Chrome,72.4084619031501,45.1577253008757,34.522636778569506,8.289579525386117,5G,24,1557.3201616998797,Not Charging,Music,70.32503606755849,10.003928387617561,0
PUBG,31.118089342247472,37.73793920596158,29.442473096494385,12.700374239799135,WiFi,14,2681.6861500136797,Not Charging,Gaming,101.20130889868541,6.586856337900796,0
Camera,75.8650245464122,35.16318137303346,28.748432085203437,14.68716295694015,4G,30,2220.617794763002,Not Charging,Music,78.08398627743703,18.570699637423672,0
Facebook,112.64924793317972,43.41600626038875,36.05407538979596,12.648615243416868,4G,52,1521.5449863135923,Charging,Gaming,66.05940665125404,23.74761657611772,1
Spotify,77.72077201109532,8.874446703797343,31.35218492131192,15.861149667416456,5G,95,2086.809387445689,Charging,Video Streaming,18.519278689870745,20.545679952252247,0
Facebook,23.99875253701242,29.430879310786203,26.115871692119875,9.832179836182254,4G,18,1716.335395946584,Not Charging,Video Streaming,50.513259894934365,3.9326675131323543,0
YouTube,67.54094019518884,10.297042125607309,29.44110850432779,15.113135199061606,5G,63,2380.827804947902,Charging,Navigation,24.51548420136573,17.012589344027052,0
YouTube,104.8172134728198,44.06888517053757,30.168104531039656,15.261141000583471,5G,16,2952.171263340276,Charging,Gaming,130.09889640790345,26.660504568282676,0
Spotify,93.6454293640504,24.86279043450021,38.87290248865871,16.840600386203093,5G,27,1551.496287757625,Charging,Video Streaming,38.57452706242286,26.284087565239695,1
Spotify,59.00297758723161,11.426328819812332,35.89557005684234,2.571710258695049,5G,89,2294.304515466449,Not Charging,Navigation,26.21547780649986,2.5289760459106265,1
PUBG,65.86788059002295,23.09320213971545,30.6419890092135,14.545230693370335,4G,76,2283.390705124693,Charging,Social Media,52.73080311739193,15.967725307754234,0
Spotify,69.73228352243959,37.24034302198677,32.0611704751442,16.50634884780807,4G,43,913.2861849937926,Charging,Video Streaming,34.0110908064105,19.183756629594107,0
Instagram,63.43215570342674,31.921574261662848,41.56042208053613,9.942706846047564,4G,13,2699.569850068885,Not Charging,Video Streaming,86.17451944351996,10.5114554795336,1
Facebook,29.258153306510444,17.4026516145084,39.68051217598475,9.260892878783892,4G,92,3459.368543385507,Not Charging,Browsing,60.20218556672737,4.5159437267105,1
Chrome,99.0897775154964,9.42697097404076,29.40969786009086,8.493111973887721,5G,99,2282.821813119363,Charging,Music,21.520094971183333,14.026342931778878,0
Maps,111.42649891722732,36.108991805457535,40.81762929813164,6.839971718338132,5G,29,3015.772003589895,Charging,Social Media,108.89648656475578,12.70256835445449,1
Spotify,42.038776400881495,26.288478398743088,34.59685595775095,15.328800270039013,4G,21,1447.2633772516974,Not Charging,Gaming,38.04635203017321,10.740066784099032,0
WhatsApp,111.09632331465788,31.12878935203924,38.99805813028122,23.409514582570857,WiFi,46,1768.7414626276186,Not Charging,Navigation,55.05878040835292,43.34518334507484,1
YouTube,77.4244199650696,32.604722187675506,34.183460224992466,9.21989988920932,WiFi,33,2242.745940643749,Charging,Social Media,73.1241083322264,11.897423350967351,0
Instagram,110.62830870419684,41.45098530762978,40.92914599371088,9.667257768975045,WiFi,64,1687.7919640670211,Charging,Gaming,69.9606399048777,17.824539613153608,1
Camera,80.94876090726115,47.7041975265487,29.201896942301005,12.076982684389476,4G,71,2222.85874362742,Not Charging,Video Streaming,106.03969257961832,16.29361306332961,0
Maps,83.38861480396575,37.19763801437664,33.72274784309242,3.9901249381516015,5G,89,2802.0248231537557,Charging,Browsing,104.22870507897113,5.5455165247870255,0
Chrome,89.31086617455531,30.193061753605345,41.08229888949558,8.522258327540634,5G,61,1670.1611345453402,Not Charging,Navigation,50.427278273799025,12.685504549932853,1
Maps,60.248341871618045,35.37145307143704,23.036959259013685,11.715171598683668,WiFi,76,2828.5116359274825,Not Charging,Navigation,100.04856659222256,11.763661059369396,0
Spotify,109.86685360820054,29.91144549110568,34.76969297937767,7.530358384995418,WiFi,18,1046.0237673323352,Not Charging,Social Media,31.288082898962156,13.788946371692951,0
PUBG,51.96548404813038,10.361699695503184,33.03226840063406,17.98720688274834,5G,43,1858.74088871985,Charging,Music,19.259714900667788,15.578565205597995,0
YouTube,69.94833138708323,51.37919256934363,38.42330615271872,5.530913174660536,WiFi,20,2081.840693633587,Charging,Gaming,106.96329389689598,6.447969126905662,1
YouTube,93.10661694107922,48.55158293731706,40.34956717705486,16.505026621010575,WiFi,22,1643.8252206039265,Not Charging,Browsing,79.81031653260506,25.612119853412448,1
Camera,67.2701189878634,64.82500990370895,38.65141909653482,19.342511359427,5G,99,1867.1119290416768,Not Charging,Browsing,121.03554929145982,21.686217344545895,1
PUBG,99.4382810203736,69.20748959716411,36.20500126698623,13.908623724234133,WiFi,79,3037.6868974401723,Not Charging,Social Media,210.23068435403246,23.05082724161715,1
Facebook,114.3966543295989,17.359698016208593,35.202822740476805,11.312747215220114,WiFi,24,2943.959142899377,Not Charging,Music,51.10624169278947,21.5690072116278,1
TikTok,105.31365002634593,29.96900119431757,33.28644689260051,13.231409064862492,4G,50,2632.020556900702,Charging,Music,78.87902721322554,23.224133060205823,0
Instagram,31.597117158034465,72.67309395305213,36.04986310762315,9.79718233030053,WiFi,49,2824.727419980113,Not Charging,Music,205.28168118397733,5.159378631818849,1
YouTube,83.14617424048393,34.39174076626648,42.29827414792754,1.8196590076210344,4G,8,1827.7777478388348,Not Charging,Navigation,62.86045848202359,2.52162808176541,1
WhatsApp,105.7170652674098,38.66316353820128,30.84743850861229,7.103738334978164,5G,88,1466.295744741792,Not Charging,Gaming,56.691632174320546,12.516439486691459,0
YouTube,47.08127882944858,12.18305072458131,32.98959262437963,11.94410442261059,4G,99,1715.439491216483,Charging,Gaming,20.89928633644037,9.372395178149652,0
